,text
0,"두산 NFT 플랫폼 ‘두버스’ 야구선수 NFT 카드 출시허경민 선수 하이라이트 장면 담아..NFT 친숙함 높여 두산디지털이노베이션(DDI)이 두산 대체불가능한토큰(NFT) 플랫폼 ‘두버스(DOOVERSE)’에서 현역 야구선수 모습을 담은 NFT 카드를 출시한다.DDI는 29일 두산베어스 허경민 선수의 시즌 하이라이트 장면을 담은 NFT 카드를 공개한다고 밝혔다.이번 상품은 총 210팩만 한정적으로 발행되며, 1팩당 2장의 카드로 구성되어 있다.  두산 NFT 플랫폼 ‘두버스’가 현역 야구선수 NFT 카드를 출시한다. DDI 제공 DDI는 NFT에 대한 일반인들 접근성과 친숙함을 높이기 위해 앞으로 두산베어스 현역선수 및 레전드 선수들의 다양한 NFT 카드를 추가로 발행할 예정이다.또 주요 기록 및 여러 선수들의 콜라보레이션 NFT 카드도 선보일 계획이다.한편 DDI는 국내 최초 현역선수 NFT 카드 출시를 기념해 다양한 이벤트도 진행한다. 두버스 디스코드 커뮤니티 채널과 공식 소셜미디어(SNS)를 통해 확인할 수 있다.elikim@fnnews.com 김미희 기자키워드#두산베어스 #NFT #두버스"
1,"관련종목▶아프리카TV(067160)플랫폼 매출, 콘텐츠형 광고 성장 견인""BJ 중심 ‘미디어 커머스 플랫폼’ 확장""   아프리카TV 제공 아프리카TV는 올해 1·4분기 영업이익이 전년 동기 대비 18% 증가한 231억1800만원을 기록했다고 29일 공시했다. 같은 기간 매출액은 23.7% 증가한 752억9800만원을 기록했다.아프리카TV는 ""BJ와 시청자 간의 영상통화를 지원하는 '유저참여' 서비스 도입으로 BJ에게 후원하는 이용자 수가 전 분기 대비 증가하며 플랫폼 매출이 지속적으로 성장했다""고 밝혔다.광고 매출은 계절적 비수기 영향으로 전체 광고 매출이 전 분기 대비 감소했지만 지난해 같은기간보다 69% 증가했다.콘텐츠형 광고 수요 증가에 따라 콘텐츠형 광고 매출이 전년 동기 대비 102% 늘어났다.아프리카TV는 서울 상암동에 위치한 e스포츠 전용 경기장 '아프리카 콜로세움'을 새로 개관하며 대규모 인원이 현장 관람을 할 수 있도록 기반 시설 마련도 마쳤다.정찬용 아프리카TV 대표는 ""2·4분기에는 아프리카TV의 강점인 BJ와 콘텐츠를 바탕으로 영상 중심의 큐레이션, BJ 중심의 커머스 생태계를 더욱 고도화해 미디어 커머스 플랫폼으로서의 영역을 구축하고 확장해나갈 것""이라며 ""동남아시아를 중심으로 글로벌 파트너사들과의 협업을 통해 현지 e스포츠 리그를 기획, 제작하는 등 글로벌 비즈니스를 적극적으로 강화해 글로벌 플랫폼으로 도약할 계획”이라고 밝혔다.spring@fnnews.com 이보미 기자"
2,"관련종목▶카카오(035720)카카오톡 쇼핑하기, 중소기업유통센터와 협업소상공인 판매자 위한 교육지원 프로그램 개설 카카오는 카카오톡 쇼핑하기가 중소기업유통센터와 손잡고 소상공인 지원 프로그램 ‘톡스토어X판판대로 과정’을 열었다고 29일 밝혔다.이번 과정은 중소기업유통센터에서 운영하는 ‘판판대로’의 기업회원이면서 카카오톡 쇼핑하기에서 운영하는 ‘카카오톡 스토어(톡스토어)’에 입점한 판매자들을 대상으로 하는 온라인 판매 교육 및 지원 프로그램이다.  소상공인 지원 프로그램 ‘톡스토어X판판대로 과정’ 모습. 카카오 제공 판판대로는 중소벤처기업 및 소상공인의 판로 혁신과 성장을 지원하는 판로정보플랫폼이다. 등록된 회원들에게 다양한 판로 지원 서비스를 제공하고 있다.카카오톡 쇼핑하기는 지난 28일 1차 교육을 시작으로 연간 총 4차례에 걸쳐 약 200명 판매자들에게 톡스토어 활용 노하우를 담은 교육을 진행한다.소상공인 판매자들이 경쟁력 있는 상품을 선별할 수 있도록 전문 강사의 컨설팅 과정이 추가되는 등 1:1 맞춤형 교육도 개설했다.교육은 카카오TV를 통해 이뤄지며 카카오톡 오픈채팅방을 통해 판매자가 교육에 관해 궁금한 점을 질문하거나 강사와 실시간으로 소통할 수 있도록 지원한다.또 카카오톡 쇼핑하기는 톡스토어X판판대로 과정에 참여한 전 판매자들을 대상으로 연간 4회 이상 톡딜 및 기획전에 참여할 수 있는 혜택을 제공한다.기획전의 경우 전문 강사의 코칭을 통해 선정된 상품을 중심으로 운영한다. 판매자들이 상품 선정부터 실질적인 판매 성과까지 온라인 판매 전반에서 성공적 경험을 할 수 있도록 다양한 기회를 제공할 예정이다.카카오톡 쇼핑하기는 판매자를 위한 정규 교육 프로그램을 운영하고 있다. 판매 관련 정보를 공유하는 ‘톡스토어 커뮤니티’를 운영하며 파트너사 성장을 적극적으로 지원하고 있다.카카오 관계자는 “톡스토어X판판대로 과정을 통해 중소형 톡스토어 판매자들에게 실질적이고 효과적인 성장 기회를 제공할 예정이다”라며 “중소기업유통센터와 협력을 통해 소상공인과의 상생을 강화해 나갈 것”이라고 말했다.elikim@fnnews.com 김미희 기자키워드#카카오톡쇼핑하기 #톡스토어 #판판대로"
3,"관련종목▶크래프톤(259960)전산학부 학생회 및 동아리 지원, 전산학부 지정기금2021년부터 매칭 그랜트 기부 6회..총 112억원 진행 크래프톤이 올해 첫 번째 매칭 그랜트 기부를 진행했다. 크래프톤, 펍지 스튜디오, 5민랩 등 구성원 중 카이스트(KAIST) 전산학부 졸업생 17명이 참여해 총 1억원 기금을 약정했다.크래프톤은 카이스트 발전 기금이 △전산학부 학생회 및 동아리 지원 △전산학부 지정기금 △전산학부 건물 증축 등으로 사용될 예정이라며 29일 이같이 밝혔다.이번 기부를 제안한 크래프톤 이상헌 엔지니어는 “KAIST 재학시절 선배들로부터 많은 도움을 받았고, 이제 후배들에게 돌려줘야 할 때라 생각해 매칭 그랜트 기부에 참여했다”면서 “여러 동문과 함께 조성한 기부금이 후배들을 위해 뜻깊은 곳에 사용되길 바란다”고 전했다.KAIST 전산학부 류석영 교수는 “모교와 후배를 생각하는 선배들의 마음이 기부의 선순환을 이끌어냈다”며 “약정 기금은 감사한 마음을 더해 소중히 사용할 것”이라고 전했다.  크래프톤이 올해 처음 진행한 매칭 그랜트 기부 참여자들이 기념촬영을 하고 있다. 크래프톤 제공 2021년 시작된 크래프톤 매칭 그랜트 기부는 임직원들이 자발적 의지로 조성한 기금에 회사 차원의 매칭 기금을 더해 출연하는 방식이다.크래프톤 구성원들이 자발적 기부 문화를 조성하고 사회적 가치를 창출하자는 취지에서 마련됐다. 이번 KAIST 졸업생 구성원 기부를 합해 총 112억원 상당 기부금이 구성원 출신 학교 및 동아리 등에 약정됐다.크래프톤 매칭 그랜트 기부 담당자는 “크래프톤 구성원은 누구나 부담 없이 매칭 그랜트 제도를 통해 원하는 곳에 기부할 수 있다”며 “2022년에는 보다 많은 구성원이 참여할 수 있도록 기부 영역 및 대상을 확대해 나갈 예정”이라고 전했다.elikim@fnnews.com 김미희 기자키워드#크래프톤 #카이스트 #매칭그랜트기부"
4,"관련종목▶안랩(053800)영업익은 33억원, 전년比 소폭 감소 안랩은 올 1·4분기 잠정실적 매출 490억원, 영업이익 33억원을 기록했다고 29일 공시했다. 각각 전년 동기 대비 16% 증가, 7% 감소한 수치다.   *재판매 및 DB 금지 /사진=뉴시스 매출은 전년보다 67억원가량 성장했다. 영업이익은 2억원 소폭 감소했다.안랩은 ""네트워크 보안 솔루션과 엔드포인트 솔루션, 관제·컨설팅·MSP 등 보안 서비스 영역에서 고르게 매출이 증가해 전년 동기 대비 견조한 성장세를 이어가고 있다""며 ""자회사의 연구개발비 등 투자비용 증가로 1·4분기 연결 영업이익이 일부 감소했다""고 설명했다.jhyuk@fnnews.com 김준혁 기자키워드#안랩 #실적"
5,"건물관리 전문기업 AJ대원과 MOU SK브로드밴드 자회사 홈앤서비스가 AJ대원과 공동주택 내 전기차 충전시 설치 확대를 위한 업무협약(MOU)를 맺었다고 29일 밝혔다.  하규진(왼쪽) 홈앤서비스 ‘Home & Charge서비스’ 담당과 김홍철 AJ대원 대표이사(오른쪽)가 29일 업무 협약을 체결한 후 기념 사진촬영을 하고 있다. SK브로드밴드 제공. AJ대원은 전국 공동주택 등 600여 시설을 전문 관리해 온 건물 시설 관리 전문 기업이다. 홈앤서비스는 이번 협약을 통해 공동주택 내 양질의 충전기 보급으로 주민들의 전기차 이용 편의성을 높일 예정이다. 나아가 국가 탄소 배출 저감 정책에 기여한다는 방침이다.SK브로드밴드의 초속인터넷 및 IPTV 설치·사후관리(A/S) 관련 업무를 총괄하는 홈앤서비스는 지난해 9월 전기차 충전 사업에 진출했다. 향후 전국 150여개 거점에 있는 5000명의 숙련된 인력을 활용, 기존 전기차 충전기 사업자와 차별화된 서비스를 제공해 나갈 계획이다.홈앤서비스가 전기차 충전 사업으로 집중하고 있는 아파트는 휴대전화처럼 잘 때 편하게 충전할 수 있다는 점에서 편리성과 비용 등 이점이 있어 전기차 이용자들이 가장 선호하는 충전공간으로 평가받는다.올해로 전기차 충전 사업 진출 2년차를 맞은 홈앤서비스의 성과도 성장 중이다. 최근 서울시 전기차 콘센트형 충전기(3kW) 설치 및 운영 보조사업자로 2년 연속 선정됐다.김일 홈앤서비스 대표는 ""이번 업무협약을 통해 공동주택 입주민을 대상으로 보다 안정적인 전기차 충전기 서비스를 제공할 수 있는 기반이 마련됐다""며 ""생활 핵심 영역인 주거지 내 전기차 충전기의 빠른 보급을 통해 전깇 생태계를 확장하고, 친환경 ESG 경영에도 기여하겠다""고 전했다.jhyuk@fnnews.com 김준혁 기자"
6,"관련종목▶NAVER(035420)네이버, 경희대학교의료원과 의료진 인물정보 제휴 네이버는 경희대학교의료원(경희의료원, 강동경희대학교병원)과 의료인 정보 제공에 대한 업무 협약을 체결했다고 29일 밝혔다.전날 열린 협약식에는 네이버 유봉석 서비스운영총괄, 경희대학교의료원 김성완 미래전략처장 등 주요 관계자가 참석했다.  네이버 유봉석 서비스운영총괄, 경희대학교의료원 김성완 미래전략처장(화면 가운데)이 지난 28일 의료인 정보 제공에 대한 업무협약을 체결한 뒤, 기념촬영을 하고 있다. 네이버 제공 이번 협약으로 오는 7월부터 경희의료원(경희대학교병원, 경희대학교치과병원, 경희대학교한방병원, 후마니타스암병원) 및 강동경희대학교병원(강동경희대학교의대병원, 강동경희대학교치과병원, 강동경희대학교한방병원) 소속 의료진의 경력을 비롯해 전문과, 전문분야와 같은 의료 분야 특화 정보를 네이버 검색을 통해 인물정보 서비스에서 확인할 수 있게 된다.네이버는 환자와 보호자 등 병원 이용자들이 의료인 정보를 쉽게 확인할 수 있도록 여러 의료 기관과 협력 관계를 구축하고 있다.삼성서울병원, 서울대병원, 연세의료원, 순천향대병원, 강북삼성병원, 인제대 백병원 의료진의 정보를 검색 결과로 서비스 중이다. 또 인물정보 검색 결과의 ‘관련 플레이스’ 영역에서 소속 병원의 위치 정보 등을 제공하고 있으며, ‘네이버 예약’ 기능을 활용해 진료 예약까지 할 수 있는 기능을 일부 병원에 한해 도입하고 있다.네이버 유봉석 서비스운영총괄은 “다양한 분야에서 활동하고 있는 인물에 대한 정확한 프로필 정보를 제공하기 위해 앞으로도 여러 업계와 활발하게 협력을 이어갈 것”이라고 말했다.경희대학교의료원 김성완 미래전략처장은 “앞으로도 환자 및 보호자 대상 정보제공 편의성을 더욱 높이며 국민 건강 증진을 위한 노력을 강화하겠다”고 전했다.한편, 네이버는 산업 트렌드와 이용자들 직업 수요에 맞춰 인물정보 서비스 직업 분류 체계와 등재 기준도 꾸준히 개정해나가고 있다. 최근에는 한국인터넷자율정책기구(KISO)의 검토 및 자문을 거쳐 ‘댄서’, ‘래퍼, ‘그림책작가’ 직업을 추가했다.elikim@fnnews.com 김미희 기자키워드#네이버 #경희대의료원 #의료진정보"
7,"169만원야간투시 등 다양한 밀리터리 기능 탑재 스마트 기기 기업 가민이 밀리터리 스마트워치 출시를 통해 군 분야 종사자 및 밀리터리 매니아 수요층을 공략한다.은 프리미엄 밀리터리 GPS 스마트워치 '택틱스 7 프로(Tactix 7 Pro)를 출시했다고 29일 밝혔다. 출고가는 169만원이다.  가민 택틱스 7 프로. 가민코리아 제공. 택틱스 7 프로는 △야간투시 △점프마스터 △듀얼 포지션 포맷 모드 등 밀리터리 기능을 다양하게 탑재한 라인업이다. 야간 투시 모드를 통해선 화면 백라이트가 야간 투시경의 기능을 방해하지 않도록 조정된다. 점프 마스터 기능은 세 가지 점프 모드를 지원, 사용자가 점프 데이터를 기록하고 착륙 예정 지점에 한층 더 정확히 착륙할 수 있는 정보를 제공한다.듀얼 포지션 포맷 모드를 활성화하면 군사좌표참조시스템(MGRS) 및 위도·경도 등 두가지 좌표 시스템을 동시에 데이터 스크린에 확인 가능하다. 여기에 백색과 녹색의 멀티 LED 플래시 라이트를 새롭게 탑재, 사용자가 야간 임무 수행 중에도 빠르게 전방 시야를 확보할 수 있도록 돕는다.  가민 택틱스 7 프로. 가민코리아 제공. 글로벌 멀티 GNSS 위성 시스템을 지원해 GNSS 신호가 반사 혹은 통과되지 않는 지역에서도 사용자의 정확한 위치를 파악할 수 있도록 지원한다.이외 △비행 기능 △다이렉트투 네비게이션 기능 △바디 배터리 기능 △실시간 체력 기능 △회복 어드바이저 기능 등으로 효율적인 체력 관리를 돕는다.스크래치에 강한 사파이어 렌즈 등으로 코팅된 티타늄 베젤·뒷면 커버, 미국 군사 표준 방수 등급 준수 등 뛰어난 내구성을 자랑하며, 버튼 조작 방식과 터치스크린 조작을 모두 지원해 상황에 따라 편리하게 조작 가능하다.택틱스 7 프로는 태양광 충전도 지원한다. 스마트모드에서 최대 37일, GPS 모드에서 최대 122시간 사용 가능하다.  가민 택틱스 7 프로. 가민코리아 제공. 가민 글로벌 컨슈머 제품군 댄 바텔(Dan Bartel) 부사장은 ""택틱스 7 프로는 야전을 위해 설계된 완벽한 프리미엄 밀리터리 스마트워치로 실전에서도 믿고 의지할 수 있는 든든한 파트너다""며 ""강인한 디자인과 혁신적인 기능, 그리고 일상에서도 활용할 수 있는 다양한 스마트 기능으로 자신에게 주어진 임무를 수행하는 모든 이에게 어울리는 제품이다""고 설명했다.jhyuk@fnnews.com 김준혁 기자키워드#가민 #밀리터리 #스마트워치"
8,"스냅챗이 ‘스냅 파트너 서밋 22’을 열고 새롭게 업데이트된 증강현실(AR)과 카메라 기능을 발표했다. 올해로 4회째 열리는 이번 서밋에서 스냅챗은 ▲렌즈 클라우드 ▲스냅 쓰리디 어셋 매니저 ▲드레스업 ▲스냅 미니스 ▲듀얼모드에디팅툴 등을 새롭게 발표했다., 렌즈 클라우드는 AR필터 개발을 위해 도와주는 백엔드 서비스로 AR 필터를 구축하고 싶은 사용자들에게 다양한 옵션을 모아놓은 클라우드 서비스를 무료 제공한다., 사용자는 만들어놓은 AR필터 과정을 저장하는 스토리지 서비스, 필터에 원하는 위치를 설정할 수 있는 위치 서비스, 동일한 렌즈 내에서 여러 사용자가 공유할 수 있는 다중 사용자 서비스 등을 활용할 수 있다는 게 사측 설명이다., 스냅챗은 렌즈 스튜디오에 정교한 AR 구현이 가능한 ‘레이 트레이싱’ 기술도 추가할 예정이라고 설명했다. , 기본 카메라에서 바로 스냅챗 필터로 연동시켜주는 카메라 키트를 삼성, 디즈니, 마이크로소프트(MS) 플립그리드와 같은 브랜드와 함께 협업할 계획이다. 실제 삼성은 지난해 스냅챗의 카메라키트를 기본 카메라에 장착해 공개한 바 있다., 스냅 쓰리디 어셋 매니저는 브랜드들이 자신들의 제품을 AR로 구축하는 것을 돕는 기능으로 이를 통해 큰 비용을 들이지 않고 브랜드만의 AR필터를 빠르게 생성할 수 있다., 또 스냅챗은 브랜드에게 스냅 AR쇼핑 카메라 키트를 제공해 제품 상세 페이지에 스냅 AR쇼핑 카메라키트를 통해 연동할 수 있게 할 방침이며, 스냅챗은 쇼핑 시 AR로 의류 착용 효과를 부여하는 ‘AR 이미지 프로세싱 테크놀로지’를 필터도 공개했다.  , 미니 앱(App)인 스냅 미니스에는 소셜 기능을 새로 추가했다. 스냅 미니스는 HTML5 기반의 라이트 앱으로, 별도의 앱을 다운로드 받지 않고 스냅챗 내에서 실행시킬 수 있으며, 여러 명의 유저들이 동시에 사용할 수 있다., 스냅챗 크리에이터를 대상으로 제공하는 듀얼모드 편집 툴은 전면과 후면 카메라를 동시 사용해 360도 시야를 촬영할 수 있고 ‘다이렉트모드’를 사용하여 특별하고 개성있는 콘텐츠를 만들 수 있다., 스냅챗 관계자는 “미래 비전으로 제시된 가상세계는 스냅스 카메라를 통해 구현될 것”이라며, “앞으로도 스냅챗의 혁신적인 AR과 카메라 기술을 선보이며 사용자들이 행복하게 사용 할 수 있는 소셜미디어가 될 것”이라고 말했다."
9,"한국마이크로소프트(MS)가 6일부터 매주 수요일 생중계로 진행한 온라인 포럼 ‘마이크로소프트 에브리웨어 2022’를 성료했다고 밝혔다. , 4회로 구성돼 진행된 이번 온라인 포럼은 한국MS가 국내 기업과 협업한 디지털 전환 여정의 경험과 비즈니스 인사이트를 나누기 위해 마련됐으며 하이브리드 업무방식을 포함해 ▲클라우드 혁신 ▲사이버 보안 ▲개발 등 각 주제에 대한 국내 기업들의 성공사례가 공개됐다. , 하이브리드 업무환경을 통해 생산성을 높인 사례로 소개된 현대글로비스는 팀즈를 중심으로 스마트 워크 플레이스를 구축해 원활한 소통과 협업을 이뤄냈다., 현대글로비스는 자율좌석제를 시행하고, 업무용 전화 시스템을 팀즈 전화로 변경해 공간 활용을 극대화하는 동시에 업무 환경에 맞춰 업무와 직원의 사생활을 분리해 관리 비용 절감 효과도 거뒀다., 클라우드를 통한 혁신사례로 소개된 코오롱베니트는 MS애저를 바탕으로 클라우드 HR 서비스인 ‘피플웍스’를 개발해 클라우드 네이티브 기술 역량 확보와 서비스 도입 시간을 단축했으며, 서비스 탄력성을 극대화했다., 한국교통연구원도 애저 기반 클라우드 센터를 구축해 기존 온-프레미스 시스템 대비 87%의 비용 절감을 경험했으며, 자율협력 전체 시스템 안정성을 43.6%로 향상시켰다. , 세 번째 세션에서는 기업들의 안전한 디지털전환을 위한 다양한 보안 전략이 소개됐다., 한국MS는 뉴 노멀 시대를 맞아 보안에 대한 위협이 점점 더 고도화되고 있는 가운데, 엔드-투-엔드 전략이 필수적으로 선행돼야 한다고 강조하고, 새로운 보안 시대 대응을 위한 첫 번째 단계로 제로 트러스트 전략 수립 방법을 공유했다. , 마지막으로 세션은 데브옵스, AI, 혼합현실 등 가장 트렌디한 최신 기술 사례와 함께 비즈니스의 새로운 가능성을 열어 변화를 이끄는 개발을 주제로 진행됐다., 대표사례로 이마트는 애저 AI/ML를 도입해 수동으로 수행되던 데브옵스 프로세스 전반을 자동화함으로써 하드웨어 변경 또는 기타 물리적 업데이트와 무관하게 자체 일정에 따라 소프트웨어를 업데이트할 수 있는 환경을 구현했다. , 이와 도잇에 개발, IT 운영, 품질 엔지니어링, 보안 등의 역할들이 서로 협업하는 데브옵스 문화를 조성해 개인 맞춤 상품을 추천하는 새로운 시스템을 개발하는 등 데이터 기반 업무 혁신을 이뤄냈다. , 이지은 한국MS 대표는 “이번에 소개된 국내 기업들의 성공 사례처럼, 디지털 전환을 앞둔 국내 기업들의 혁신과 발전을 위해 전방위적 지원을 아끼지 않을 것”이라고 전했다., 한편 MS는 3월말 마감된 2022 회계연도 3분기에 전년동기비 18% 증가한 494억달러의 매출을 기록했다고 밝혔다. 영업익은 19% 증가한 204억달러를 기록했다. 애저, 기타 클라우드 서비스 매출이 46% 급증하는 등 호실적을 기록했다."
